# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.202228437363127372e-02,-7.848415976552203714e-16,-2.770490839722927721e-16
5.203534053702649209e-02,1.466886253696672055e-13,5.178108475549251980e-14
5.204840325554310754e-02,-2.240475520422997010e-14,-7.908878587093179598e-15
5.206147253411907982e-02,-6.719338104148963355e-14,-2.371926350764584081e-14
5.207454837769732309e-02,2.692738065318117092e-13,9.505365370572953265e-14
5.208763079122569195e-02,4.186484496747809490e-14,1.477829027351976614e-14
5.210071977965703011e-02,7.423112912827723493e-14,2.620358858228186115e-14
5.211381534794914949e-02,1.741339750956240995e-14,6.146929320875530686e-15
5.212691750106490662e-02,7.656772896198073274e-15,2.702840832357919646e-15
5.214002624397207769e-02,-2.357834925358837479e-14,-8.323157286516695369e-15
5.215314158164344877e-02,-2.759322114092505589e-14,-9.740407062746544455e-15
5.216626351905686437e-02,-1.094569092839050722e-14,-3.863828897721849099e-15
5.217939206119510953e-02,3.463274068106922075e-14,1.222535746041743362e-14
5.219252721304602771e-02,3.029611170870696433e-13,1.069452743317355808e-13
5.220566897960248615e-02,2.763866613311178504e-13,9.756449144988459321e-14
5.221881736586236888e-02,9.284750344985982562e-14,3.277516871780051606e-14
5.223197237682859068e-02,3.276161549630939953e-13,1.156485027019721771e-13
5.224513401750914554e-02,2.732970611736988531e-14,9.647386259431569557e-15
5.225830229291700962e-02,-9.326194636759645110e-15,-3.292146706776154508e-15
5.227147720807029385e-02,1.894852297603407591e-14,6.688828610540028656e-15
5.228465876799209822e-02,-2.302003473605239429e-14,-8.126072261826494928e-15
5.229784697771067137e-02,8.319780836762956132e-15,2.936882635377323242e-15
5.231104184225923021e-02,1.215755433705172376e-13,4.291616680979258238e-14
5.232424336667615417e-02,2.196633085935428126e-13,7.754114793352060750e-14
5.233745155600491583e-02,1.926979531928184923e-13,6.802237747706492428e-14
5.235066641529403236e-02,5.094538385257002327e-14,1.798372049995721710e-14
5.236388794959712795e-02,1.179804227585097966e-14,4.164708923375395377e-15
5.237711616397295461e-02,-4.135356493812026802e-15,-1.459780842315645448e-15
5.239035106348538529e-02,3.638190120122061747e-14,1.284281112403087799e-14
5.240359265320339993e-02,2.121171602298504047e-13,7.487735756113719151e-14
5.241684093820107165e-02,3.766998136857982373e-14,1.329750342310867739e-14
5.243009592355766385e-02,8.917011377494601612e-14,3.147705016255594379e-14
5.244335761435754001e-02,4.375886137991036746e-13,1.544687806710835830e-13
5.245662601569021227e-02,4.781019701212781136e-14,1.687699954528111492e-14
5.246990113265037614e-02,4.937813116339000879e-14,1.743048030067667219e-14
5.248318297033785496e-02,4.901636032437556644e-14,1.730277519450457245e-14
5.249647153385763459e-02,2.319406684512211488e-14,8.187505596328105314e-15
5.250976682831987735e-02,3.027645666649408158e-14,1.068758920327240954e-14
5.252306885883994969e-02,2.731549879138456611e-14,9.642371073358751553e-15
5.253637763053837367e-02,1.182733758794897570e-14,4.175050168545987987e-15
5.254969314854084778e-02,8.149604439758448153e-15,2.876810367234731946e-15
5.256301541797834403e-02,3.679260019650888571e-14,1.298778786936763565e-14
5.257634444398693457e-02,5.463650129157021660e-14,1.928668495592428658e-14
5.258968023170797895e-02,1.897842873192817372e-14,6.699385342370644792e-15
5.260302278628802009e-02,-2.000361073319923005e-14,-7.061274588819328076e-15
5.261637211287883975e-02,2.816455213605038638e-13,9.942086904025785225e-14
5.262972821663745859e-02,1.251399798096907912e-13,4.417441287282084526e-14
5.264309110272610837e-02,-3.101159377487502196e-14,-1.094709260253088162e-14
5.265646077631225275e-02,1.409327250570078486e-15,4.974925194512376518e-16
5.266983724256867755e-02,1.963098771753124987e-14,6.929738664288530998e-15
5.268322050667337275e-02,1.286584848270719479e-14,4.541644514395639611e-15
5.269661057380957414e-02,-1.753244753952917309e-14,-6.188953981453797866e-15
5.271000744916583269e-02,3.310904970775844811e-14,1.168749454683873152e-14
5.272341113793595213e-02,4.594882675585661125e-14,1.621993584481738245e-14
5.273682164531903055e-02,1.480584282022868648e-13,5.226462515540726118e-14
