# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.390220048882603254e-02,3.252104549596436479e-12,1.147992906007542074e-12
5.391621744346544731e-02,3.300556252993321552e-12,1.165096357306642524e-12
5.393024169005664059e-02,3.479175302597544061e-12,1.228148881816933085e-12
5.394427323429122623e-02,3.336210665382049480e-12,1.177682364879863485e-12
5.395831208186680633e-02,3.398265858153612039e-12,1.199587847928224891e-12
5.397235823848687414e-02,3.358024548942335753e-12,1.185382665776644428e-12
5.398641170986086951e-02,3.224460919442994489e-12,1.138234704563376892e-12
5.400047250170420671e-02,3.286266450608522063e-12,1.160052057064808310e-12
5.401454061973822579e-02,3.141949507623843876e-12,1.109108176191216886e-12
5.402861606969024816e-02,3.320240359247038130e-12,1.172044846814204439e-12
5.404269885729355571e-02,3.280424204567550657e-12,1.157989744212345343e-12
5.405678898828742557e-02,3.430361235793201909e-12,1.210917516235000196e-12
5.407088646841707452e-02,3.371006250199380060e-12,1.189965206320381122e-12
5.408499130343379091e-02,3.358936159263350133e-12,1.185704464219962583e-12
5.409910349909480276e-02,3.428301930019283230e-12,1.210190581296806839e-12
5.411322306116339576e-02,3.455069301385881884e-12,1.219639463389216265e-12
5.412734999540881609e-02,3.397698354469115293e-12,1.199387519127597633e-12
5.414148430760637454e-02,3.493809347303045126e-12,1.233314699597974884e-12
5.415562600353741873e-02,3.404097533358496300e-12,1.201646429275549154e-12
5.416977508898934701e-02,3.433865944112761986e-12,1.212154678271804984e-12
5.418393156975555291e-02,3.371753720132727686e-12,1.190229063206852826e-12
5.419809545163555009e-02,3.486299020377984581e-12,1.230663554193428424e-12
5.421226674043488208e-02,3.306233064431681896e-12,1.167100271744383618e-12
5.422644544196517785e-02,3.256422020124018211e-12,1.149516973103778317e-12
5.424063156204415176e-02,3.407865765929704557e-12,1.202976615373185658e-12
5.425482510649558970e-02,3.120678235526761234e-12,1.101599417140946643e-12
5.426902608114941851e-02,3.120194957358849030e-12,1.101428819947673726e-12
5.428323449184158794e-02,3.344997874462917010e-12,1.180784249685409615e-12
5.429745034441425811e-02,3.368200993790369983e-12,1.188974950808000525e-12
5.431167364471564674e-02,3.248551181664778168e-12,1.146738567127666579e-12
5.432590439860011944e-02,3.362246401803603185e-12,1.186872979836671930e-12
5.434014261192818274e-02,3.362873969601522115e-12,1.187094511269337329e-12
5.435438829056648408e-02,3.252520081356457706e-12,1.148139588718829587e-12
5.436864144038781876e-02,3.167242887193152135e-12,1.118036739179182586e-12
5.438290206727115772e-02,3.321591880295514617e-12,1.172521933744316528e-12
5.439717017710162666e-02,3.237828725666788978e-12,1.142953540160376543e-12
5.441144577577056163e-02,3.309753282231600232e-12,1.168342908627754813e-12
5.442572886917542568e-02,3.255936480701263958e-12,1.149345577687546176e-12
5.444001946321991303e-02,3.158533462328849396e-12,1.114962312202083763e-12
5.445431756381394206e-02,3.156840516401388877e-12,1.114364702289690256e-12
5.446862317687361371e-02,3.317001740589197173e-12,1.170901614427986464e-12
5.448293630832122536e-02,3.324418620613226244e-12,1.173519773076468734e-12
5.449725696408533326e-02,3.359699194615265304e-12,1.185973815699188494e-12
5.451158515010072481e-02,3.223202223678006963e-12,1.137790384958336473e-12
5.452592087230845319e-02,3.312230546924228885e-12,1.169217383064252696e-12
5.454026413665574724e-02,3.308486218986888906e-12,1.167895635302371759e-12
5.455461494909617792e-02,3.318901526080065232e-12,1.171572238706262891e-12
5.456897331558952652e-02,3.141879598959328139e-12,1.109083498432642743e-12
5.458333924210190258e-02,3.272518901109212493e-12,1.155199172091551877e-12
5.459771273460565372e-02,3.287140730790597585e-12,1.160360677969080900e-12
5.461209379907943501e-02,3.355002251184334652e-12,1.184315794668070053e-12
5.462648244150822285e-02,3.176214520784700564e-12,1.121203725836999180e-12
5.464087866788325254e-02,3.257857035406002700e-12,1.150023533498318910e-12
5.465528248420215007e-02,3.335995721094993700e-12,1.177606489546532743e-12
5.466969389646877953e-02,3.227108383366179678e-12,1.139169259328261426e-12
5.468411291069342345e-02,3.236465472967532472e-12,1.142472311957538953e-12
5.469853953289265797e-02,3.195121817371493271e-12,1.127878001532137104e-12
