# E_low [keV], E_up [keV], diff. flux [photons/s/cm^2/keV]
6.151768727098682055e-01,6.194410750767814777e-01,1.006317580828266708e-02
6.194410750767814777e-01,6.237348354824192587e-01,9.786113342814074800e-03
6.237348354824192587e-01,6.280583588133179518e-01,1.233160229177099679e-02
6.280583588133179518e-01,6.324118513762194693e-01,1.143153266865462939e-02
6.324118513762194693e-01,6.367955209079159129e-01,8.626760850601298408e-03
6.367955209079159129e-01,6.412095765851616447e-01,8.754845604693252750e-03
6.412095765851616447e-01,6.456542290346556356e-01,8.333827865833915230e-03
6.456542290346556356e-01,6.501296903430907603e-01,8.596230734914377461e-03
6.501296903430907603e-01,6.546361740672750340e-01,7.065897646624313966e-02
6.546361740672750340e-01,6.591738952443214616e-01,9.887346203567770261e-03
6.591738952443214616e-01,6.637430704019089411e-01,1.172446509650427321e-02
6.637430704019089411e-01,6.683439175686146649e-01,8.284865622901911239e-03
6.683439175686146649e-01,6.729766562843179090e-01,8.043167569398719519e-03
6.729766562843179090e-01,6.776415076106752089e-01,8.099048528406033523e-03
6.776415076106752089e-01,6.823386941416695883e-01,7.689714420298725782e-03
6.823386941416695883e-01,6.870684400142320625e-01,7.607221678142697327e-03
6.870684400142320625e-01,6.918309709189364165e-01,7.476369233046905628e-03
6.918309709189364165e-01,6.966265141107687020e-01,8.057682707337291209e-03
6.966265141107687020e-01,7.014552984199712293e-01,9.309093108327374036e-03
7.014552984199712293e-01,7.063175542629619441e-01,7.225005355369015086e-03
7.063175542629619441e-01,7.112135136533289659e-01,7.486189718850449516e-03
7.112135136533289659e-01,7.161434102129019541e-01,7.316301456415888471e-03
7.161434102129019541e-01,7.211074791828996355e-01,6.985958438787466876e-03
7.211074791828996355e-01,7.261059574351547141e-01,1.204567314997560638e-02
7.261059574351547141e-01,7.311390834834173846e-01,7.100993379073897160e-03
7.311390834834173846e-01,7.362070974947361179e-01,9.035577880485338650e-03
7.362070974947361179e-01,7.413102413009174940e-01,7.199819890567330481e-03
7.413102413009174940e-01,7.464487584100665263e-01,6.639588614682311214e-03
7.464487584100665263e-01,7.516228940182054785e-01,6.560500003988674333e-03
7.516228940182054785e-01,7.568328950209743944e-01,7.172217430987437407e-03
7.568328950209743944e-01,7.620790100254120070e-01,7.861061720607036632e-03
7.620790100254120070e-01,7.673614893618189159e-01,9.838485815572894921e-03
7.673614893618189159e-01,7.726805850957023658e-01,1.985777255073944286e-02
7.726805850957023658e-01,7.780365510398040696e-01,7.523459206783230865e-03
7.780365510398040696e-01,7.834296427662118534e-01,7.603020284382797089e-03
7.834296427662118534e-01,7.888601176185544572e-01,6.049090602139845819e-03
7.888601176185544572e-01,7.943282347242814900e-01,7.753854575163469931e-03
7.943282347242814900e-01,7.998342550070284274e-01,6.865378155373699255e-03
7.998342550070284274e-01,8.053784411990666525e-01,7.073503487079847024e-03
8.053784411990666525e-01,8.109610578538408721e-01,7.472305874482684449e-03
